,Total Jobs,Average Salary,Top Salary,Total Locations,,,,,,,,
,=COUNTA(B5:B131),"=AVERAGEIF(G5:G131, "">=1000"")",=MAX(F5:F131),"=IFERROR(__xludf.DUMMYFUNCTION(""COUNTUNIQUE(D5:D131)""),87.0)",,,,,,,,
,,,,,,,,,,,,
Job ID,Job Title,Company,Location,Min Salary,Max Salary,Avg Salary,Pay Type,Employment Type,Key Benefits,Application Status,Link,Notes
JOB-001,Multi-Site Practice Operations Manager,Confidential,"Oakland County, MI",65000.0,75000.0,"=IF(AND(ISNUMBER(E5),ISNUMBER(F5)),AVERAGE(E5:F5),IF(ISNUMBER(E5),E5,IF(ISNUMBER(F5),F5,"""")))",Salary,Full-time,"401(k), Health insurance, Paid time off, Dental insurance",Not Applied,Indeed,3 hires made in past 30 days
JOB-002,Restaurant Assistant General Manager,Method Hospitality,"Detroit, MI 48226",70000.0,75000.0,"=IF(AND(ISNUMBER(E6),ISNUMBER(F6)),AVERAGE(E6:F6),IF(ISNUMBER(E6),E6,IF(ISNUMBER(F6),F6,"""")))",Salary,Full-time,"401(k), Health insurance, Paid time off, Vision, Dental, Life insurance",Not Applied,Indeed,Monday to Friday +7
JOB-003,Clinic Office Manager,Orthopedic Specialists of Oakland County,"Bloomfield Hills, MI 48302",55000.0,,"=IF(AND(ISNUMBER(E7),ISNUMBER(F7)),AVERAGE(E7:F7),IF(ISNUMBER(E7),E7,IF(ISNUMBER(F7),F7,"""")))",Salary,Full-time,"401(k), Health insurance, Paid time off, Vision, Dental",Not Applied,Indeed,Minimum $55k
JOB-004,Veterinary Onboarding Specialist,"Snout, Inc","Troy, MI 48083",55000.0,60000.0,"=IF(AND(ISNUMBER(E8),ISNUMBER(F8)),AVERAGE(E8:F8),IF(ISNUMBER(E8),E8,IF(ISNUMBER(F8),F8,"""")))",Salary,Full-time,"Paid parental leave, Health insurance, Paid time off, Vision, Dental",Not Applied,Indeed,
JOB-005,"Trainer, End User and Operations, HRSS",Trinity Health,"Livonia, MI 48152",31.88,47.82,"=IF(AND(ISNUMBER(E9),ISNUMBER(F9)),AVERAGE(E9:F9),IF(ISNUMBER(E9),E9,IF(ISNUMBER(F9),F9,"""")))",Hourly,Full-time,"Health insurance, Retirement benefits",Not Applied,Indeed,$31.88 - $47.82/hr
JOB-006,Human Resources Generalist,Pontiac General Hospital,"Pontiac, MI 48341",48000.0,55000.0,"=IF(AND(ISNUMBER(E10),ISNUMBER(F10)),AVERAGE(E10:F10),IF(ISNUMBER(E10),E10,IF(ISNUMBER(F10),F10,"""")))",Salary,Full-time,"401(k), Health insurance, 401(k) matching, Paid time off, Vision, Dental",Not Applied,Indeed,Hospital HR
